Area;pozwolenie na zakup broni;Population;violent crime Number;"violent crime Rate per 
100,000";"Murder and nonnegligent
manslaughter Number";"Murder and nonnegligent
manslaughter Rate per 
100,000";rape Number;"rape Rate per 
100,000"; rape2 Number;"rape2 Rate per 
100,000";robbery Number;"robbery Rate per 
100,000";Aggravated assault Number;"Aggravated assault Rate per 
100,000";property crime Number;"property crmie Rate per 
100,000";burglary Number;"burglary Rate per 
100,000";Larceny-theft Number;"Larceny-theft Rate per 
100,000";Motor vehicle theft Number;"Motor vehicle theft Rate per 
100,000"
     Oklahoma;0;3 850 568;16 484;428,1;195;5,1;2 180;56,6;1 675;43,5;3 031;78,7;11 583;300,8;126 057;3 273,70;33 348;866,1;81 495;2 116,40;11 214;291,2
     Oregon;0;3 930 065;9 546;242,9;80;2;1 897;48,3;1 459;37,1;2 397;61;5 610;142,7;124 737;3 173,90;20 769;528,5;94 106;2 394,50;9 862;250,9
     Pennsylvania;0;12 773 801;41 713;326,6;594;4,7;3 774;29,5;2 638;20,7;14 762;115,6;23 719;185,7;263 240;2 060,80;52 034;407,3;197 436;1 545,60;13 770;107,8
     Rhode Island;1;1 051 511;2 572;244,6;31;2,9;440;41,8;307;29,2;684;65;1 550;147,4;25 678;2 442,00;5 607;533,2;17 838;1 696,40;2 233;212,4
     South Carolina;0;4 774 839;23 625;494,8;297;6,2;2 171;45,5;1 518;31,8;3 972;83,2;17 838;373,6;173 049;3 624,20;40 958;857,8;119 511;2 502,90;12 580;263,5
     South Dakota;0;844 877;2 524;298,7;20;2,4;499;59,1;349;41,3;159;18,8;1 996;236,2;16 177;1 914,70;3 372;399,1;11 867;1 404,60;938;111
     Tennessee;0;6 495 978;37 655;579,7;328;5;2 351;36,2;1 642;25,3;7 307;112,5;28 378;436,9;206 629;3 180,90;50 999;785,1;143 802;2 213,70;11 828;182,1
     Texas;0;26 448 193;105 736;399,8;1 139;4,3;9 766;36,9;7 504;28,4;31 801;120,2;65 292;246,9;861 734;3 258,20;190 898;721,8;605 091;2 287,80;65 745;248,6
     Utah;0;2 900 872;6 070;209,2;49;1,7;1 422;49;994;34,3;1 243;42,8;3 784;130,4;85 586;2 950,40;13 333;459,6;64 788;2 233,40;7 465;257,3
     Vermont;0;626 630;720;114,9;10;1,6;130;20,7;91;14,5;73;11,6;546;87,1;13 875;2 214,20;3 313;528,7;10 228;1 632,20;334;53,3
     Virginia;0;8 260 405;15 524;187,9;316;3,8;2 262;27,4;1 581;19,1;4 565;55,3;9 062;109,7;170 654;2 065,90;26 640;322,5;135 478;1 640,10;8 536;103,3
     Washington;0;6 971 406;19 377;277,9;160;2,3;2 573;36,9;1 797;25,8;5 819;83,5;11 601;166,4;258 662;3 710,30;58 353;837;171 910;2 465,90;28 399;407,4
     West Virginia;0;1 854 304;5 371;289,7;61;3,3;653;35,2;456;24,6;651;35,1;4 203;226,7;39 013;2 103,90;9 674;521,7;27 423;1 478,90;1 916;103,3
     Wisconsin;0;5 742 713;15 570;271,1;162;2,8;1 687;29,4;1 296;22,6;4 834;84,2;9 278;161,6;125 688;2 188,70;24 347;424;93 953;1 636,00;7 388;128,6
     Wyoming;0;582 658;1 152;197,7;17;2,9;187;32,1;144;24,7;75;12,9;916;157,2;12 809;2 198,40;1 955;335,5;10 276;1 763,60;578;99,2
